scan_type,kind,distance_m,theta_grid_size,matsubara_max,kparallel_num,kparallel_max_factor,kparallel_max,phi_num,max_abs_energy_over_theta,max_abs_torque_over_theta,relative_change_vs_largest_setting,last_two_relative_change,matsubara_tail_indicator,kparallel_cutoff_indicator,phi_convergence_indicator,convergence_status,diagnosis,local_response,finite_q_resolved,n0_policy,benchmark_only,not_final_casimir_conclusion,notes
matsubara,dwave,5e-08,3,1,8,20.0,400000000.0,8,7.151235508886094e-10,0.0,0.49918319771115977,0.49918319771115977,nan,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_num,spm,5e-08,3,2,8,20.0,400000000.0,8,1.4278922449521922e-09,0.0,0.0,0.8019841548875123,0.49917858255803876,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,dwave,5e-08,3,2,8,10.0,200000000.0,8,7.105973323668997e-09,0.0,3.9764699158454104,3.9764699158454104,0.49841384006306083,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,normal,5e-08,3,2,8,10.0,200000000.0,8,6.153370896029523e-09,2.1063981330746965e-24,3.654855569510795,3.654855569510795,0.4581960627546961,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,spm,5e-08,3,2,8,10.0,200000000.0,8,7.10575715223667e-09,0.0,3.9763959271832734,3.9763959271832734,0.4984048917827806,cutoff_not_final,phi_convergence_not_final,warning_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,dwave,5e-08,3,2,8,20.0,400000000.0,8,1.4279144541883207e-09,0.0,0.0,3.9764699158454104,0.49918319771115977,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_kparallel_cutoff_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,normal,5e-08,3,2,8,20.0,400000000.0,8,1.3219252035087772e-09,0.0,0.0,3.654855569510795,0.47747996299918744,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_kparallel_cutoff_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
kparallel_cutoff,spm,5e-08,3,2,8,20.0,400000000.0,8,1.4278922449521922e-09,0.0,0.0,3.9763959271832734,0.49917858255803876,cutoff_not_final,phi_convergence_not_final,warning_not_converged;warning_kparallel_cutoff_not_converged,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,dwave,5e-08,3,2,8,20.0,400000000.0,6,1.427914454188321e-09,0.0,1.4482320879355964e-16,1.4482320879355964e-16,0.4991831977111598,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,normal,5e-08,3,2,8,20.0,400000000.0,6,1.3219252035087772e-09,0.0,0.0,0.0,0.4774799629991875,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,spm,5e-08,3,2,8,20.0,400000000.0,6,1.4278922449521922e-09,0.0,0.0,0.0,0.49917858255803876,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,dwave,5e-08,3,2,8,20.0,400000000.0,8,1.4279144541883207e-09,0.0,0.0,1.4482320879355964e-16,0.49918319771115977,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,normal,5e-08,3,2,8,20.0,400000000.0,8,1.3219252035087772e-09,0.0,0.0,0.0,0.47747996299918744,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
phi,spm,5e-08,3,2,8,20.0,400000000.0,8,1.4278922449521922e-09,0.0,0.0,0.0,0.49917858255803876,cutoff_not_final,phi_convergence_not_final,benchmark_converged_candidate,zero_torque_baseline;not_final_casimir_conclusion,True,False,skip,True,True,local-response convergence benchmark only | n=0 policy: skip | finite-q response not included | not a final Casimir conclusion
