kind,matsubara_index,temperature_K,q_magnitude,q_phi,nk,delta0,eta,deg_tol,denominator_mode,num_subspaces_minus,num_subspaces_plus,max_subspace_dimension_minus,max_subspace_dimension_plus,near_degenerate_group_count,eigenstate_overlap_offdiag_norm,eigenstate_overlap_diagonal_error,projector_overlap_error,projector_trace_defect,subspace_mixing_norm,unmatched_subspace_weight,possible_band_phase_or_order_issue,possible_true_subspace_mixing,near_degenerate_count,min_abs_energy_diff,near_degenerate_weight_raw,near_degenerate_weight_stable,denominator_regularization_delta,stable_denominator_changed_response_norm,stable_denominator_improves_continuity,error_to_local_sigma,error_to_K_para,error_to_K_total,error_to_K_total_over_omega,error_to_normal_kubo_sigma,best_match_component,small_q_relative_error,diagnostic_status,gauge_status,final_casimir_input,not_final_Casimir_conclusion,notes
normal,1,30.0,0.0001,0.0,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.0010052661451325886,2.5215291532543205e-07,5.043057670350848e-07,1.3322676295501878e-15,0.0007101448912926448,0.0,False,False,0,4.674899206635885e-07,0.0,0.0,0.0,0.0,False,2.7721315275266534e-05,nan,nan,nan,2.7721315275266534e-05,local_sigma,2.7721315275266534e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0001,0.7853981634,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.0014216603913583094,5.043054500664113e-07,1.0086106458917499e-06,1.5543122344752192e-15,0.0010042960942326464,0.0,False,False,24,1.1102230246251565e-16,0.0,0.0,6.821141829841846e-26,0.0,False,2.772131528571079e-05,nan,nan,nan,2.772131528571079e-05,local_sigma,2.772131528571079e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.0,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.0050263245804750365,6.303826507902954e-06,1.2607613277593188e-05,1.3322676295501878e-15,0.003550720106859422,0.0,False,False,0,2.3374483717475414e-06,0.0,0.0,0.0,0.0,False,2.7671857632440776e-05,nan,nan,nan,2.7671857632440776e-05,local_sigma,2.7671857632440776e-05,small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.0005,0.7853981634,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.00710821828147757,1.2607415142418255e-05,2.5214671337980832e-05,1.5543122344752192e-15,0.005021421246754231,0.0,False,False,24,0.0,0.0,0.0,2.572956435237133e-25,0.0,False,2.7671864170860918e-05,nan,nan,nan,2.7671864170860918e-05,local_sigma,2.7671864170860918e-05,near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.0,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.010052610744910572,2.5215351366125738e-05,5.0430066918183414e-05,1.3322676295501878e-15,0.007101413022596403,0.0,True,False,0,4.674889028777329e-06,0.0,0.0,0.0,0.0,False,2.7517371809039304e-05,nan,nan,nan,2.7517371809039304e-05,local_sigma,2.7517371809039304e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-08,stable,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-07,raw,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-07,stable,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-06,raw,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.001,0.7853981634,6,0.04,0.0001,1e-06,stable,4,4,1,1,0,0.014215913630714746,5.042689706946657e-05,0.00010085125126679806,1.7763568394002505e-15,0.010042472368162587,0.0,True,False,24,0.0,0.0,0.0,1.9179570192155425e-25,0.0,False,2.7517477001828753e-05,nan,nan,nan,2.7517477001828753e-05,local_sigma,2.7517477001828753e-05,likely_gauge_or_band_order_rotation;near_degenerate_denominator_present;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
normal,1,30.0,0.005,0.0,6,0.04,0.0001,1e-08,raw,4,4,1,1,0,0.05025687261171853,0.0006304192156953992,0.0012604410030034874,1.5543122344752192e-15,0.03550269008121309,0.0,True,False,0,2.3373210803478983e-05,0.0,0.0,0.0,0.0,False,2.2640651473789655e-05,nan,nan,nan,2.2640651473789655e-05,local_sigma,2.2640651473789655e-05,likely_gauge_or_band_order_rotation;small_q_continuity_candidate,prototype_not_ward_verified,False,True,finite-q subspace / denominator repair diagnostic | projector diagnostics are not used to overwrite the response | stable denominator uses Fermi derivative only for near-degenerate occupation differences | no near-degenerate terms are skipped in stable mode | final_casimir_input=False | not a final Casimir torque conclusion
